annotation_id	sample_id	sample_type	audio_path	recognized_text	user_id	display_name	label	ui_choice	span_count	spans_json	status	is_closed	accepted_annotation_count	queue_type	created_at
14	135	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/001154.wav	Ne, to není vše. To jsem takové začal, pane předsedající. Já zauším orientovat ještě v dalších krocích.	1	Admin	positive	positive_localizable	2	"[{""start"": 1.38, ""end"": 4.96, ""intelligibility"": ""full"", ""text"": ""ano, aha, já už jsem…""}, {""start"": 6.49, ""end"": 7.76, ""intelligibility"": ""full"", ""text"": ""moc křičení, já jenom...""}]"	accepted	0	1	positive	2026-04-19 21:46:57
1	394	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/003065.wav	Dobrá tedy přerušují projednávání interpelací.	1	Admin	negative	negative	0		accepted	1	1	unseen	2026-04-19 20:52:50
8	407	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/003157.wav	Pane premiér, já to vím, že jste od pětí prýčka letuji. Já jsem prezidenta.	1	Admin	negative	negative	0		accepted	1	1	unseen	2026-04-19 21:37:01
53	442	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/003372.wav	Domovní provítka je připustní.	2	TestUser	positive	positive_localizable	2	"[{""start"": 0, ""end"": 1.09, ""intelligibility"": ""full"", ""text"": ""... všichni""}, {""start"": 1.55, ""end"": 3.38, ""intelligibility"": ""full"", ""text"": ""prosím, abyste ... děkuji.""}]"	accepted	0	1	positive	2026-04-20 02:44:44
15	683	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/005209.wav	Pane Vyslanče, pokračujte.	2	TestUser	positive	positive_localizable	1	"[{""start"": 0.57, ""end"": 1.45, ""intelligibility"": ""full"", ""text"": ""poprosil pana""}]"	accepted	0	1	positive	2026-04-19 22:24:34
3	742	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/005792.wav	Prosím, v mezích slušnosti. Prosím, v mezích slušnosti.	1	Admin	positive	positive_localizable	2	"[{""start"": 0.1, ""end"": 2.21, ""intelligibility"": ""full"", ""text"": ""to vůbec to nebudu komentovat""}, {""start"": 2.85, ""end"": 4.27, ""intelligibility"": ""full"", ""text"": ""ale já jsem přišel""}]"	accepted	0	1	positive	2026-04-19 21:15:17
6	765	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/005982.wav	mají možnost ten proces dobře řídit, protože mohou otevírat první ročníky středních škol	1	Admin	negative	negative	0		accepted	1	2	negative	2026-04-19 21:19:08
54	765	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/005982.wav	mají možnost ten proces dobře řídit, protože mohou otevírat první ročníky středních škol	2	TestUser	negative	negative	0		accepted	1	2	negative	2026-04-20 02:45:01
41	836	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/006546.wav	Pane předsedo, skončil vás čas pro...	3	TestUserNew	positive	positive_localizable	2	"[{""start"": 0, ""end"": 1.19, ""intelligibility"": ""full"", ""text"": ""tisíc zaměstnanců""}, {""start"": 1.69, ""end"": 4.14, ""intelligibility"": ""full"", ""text"": ""dvě celé tři miliardy ...""}]"	accepted	0	1	positive	2026-04-20 02:40:20
13	1159	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/009264.wav	navrhuji přerušení do doby, než tady	1	Admin	positive	positive_localizable	1	"[{""start"": 0.08, ""end"": 4.07, ""intelligibility"": ""full"", ""text"": ""změna, pokud máte procedurální návrh""}]"	accepted	0	1	positive	2026-04-19 21:42:51
2	1239	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/009917.wav	v procesu, že toho hlasování. To není vaše chyba. Prosím.	1	Admin	positive	positive_localizable	2	"[{""start"": 0.02, ""end"": 0.5, ""intelligibility"": ""full"", ""text"": ""Já vím, že""}, {""start"": 2.01, ""end"": 2.73, ""intelligibility"": ""full"", ""text"": ""To není vaše chyba""}]"	accepted	0	1	positive	2026-04-19 21:10:27
11	1269	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/010118.wav	Prosím, stanovisko. Stanovisko školského výboru doporučující	1	Admin	positive	positive_localizable	1	"[{""start"": 0.02, ""end"": 0.85, ""intelligibility"": ""full"", ""text"": ""prosím stanovisko""}]"	accepted	0	1	positive	2026-04-19 21:38:26
9	1386	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/011096.wav	přítomných poslanců je 156 quorum pro toto hlasování.	1	Admin	negative	negative	0		accepted	1	1	unseen	2026-04-19 21:37:14
4	1568	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/012309.wav	To je velmi jednoduché, pokud tak nečiníte, tak já navrhnuji, že tento bod do přítomnosti buď...	1	Admin	positive	positive_localizable	2	"[{""start"": 0.04, ""end"": 1.23, ""intelligibility"": ""full"", ""text"": ""pane pos...""}, {""start"": 5.97, ""end"": 7.53, ""intelligibility"": ""full"", ""text"": ""pane poslanče, já…""}]"	accepted	0	1	positive	2026-04-19 21:18:29
5	1590	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/012507.wav	Ano, je to souhladu s jednacím řádem. Prosím. Dobře, děkuji. Bude zaznamenat určitě. Děkuji a vás poprosím.	1	Admin	negative	negative	0		accepted	1	1	unseen	2026-04-19 21:18:59
12	1603	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/012613.wav	Jak se k tomu hlavná? No, nevěřitě tohle, jak se k tomu hlasný.	1	Admin	negative	negative	0		accepted	1	1	unseen	2026-04-19 21:38:37
10	1610	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/012686.wav	Něco nevadí. Tady jsme všichni jako ty běhájí na tý formálů.	1	Admin	negative	negative	0		accepted	1	1	unseen	2026-04-19 21:37:29
7	1654	production	/home/vladislavstankov/Projects/Python/overlap-annotations/selected_audios/013034.wav	že se nemůžeme spolehat, to znamená, že je použit dobrý test.	1	Admin	positive	positive_localizable	1	"[{""start"": 0.17, ""end"": 4.29, ""intelligibility"": ""full"", ""text"": ""poslanče, také ... skončil čas k faktické poznám...""}]"	accepted	0	1	positive	2026-04-19 21:34:53
